Description_EN,Description_RU,Omega3 (g)
"Fish, Salmon, pink, canned, drained solids, without skin and bones","Горбуша (розовый лосось), консервированный, жидкость слита, без кожи и костей",1.029
"Fish, anchovy, european, canned in oil, drained solids","Анчоус европейский, консервированный в масле, жидкость слита",1.466
"Fish, anchovy, european, raw","Анчоус европейский, сырой",1.478
"Fish, bass, fresh water, mixed species, raw","Пресноводный окунь, разные виды, сырой",0.679
"Fish, bass, freshwater, mixed species, cooked, dry heat","Пресноводный окунь, разные виды, приготовленный, сухое тепло",0.871
"Fish, bass, striped, cooked, dry heat","Полосатый морской окунь, приготовленный, сухое тепло",0.967
"Fish, bass, striped, raw","Полосатый морской окунь, сырой",0.754
"Fish, bluefish, cooked, dry heat","Луфарь, приготовленный, сухое тепло",1.067
"Fish, bluefish, raw","Луфарь, сырой",0.833
"Fish, carp, raw","Карп, сырой",0.434
"Fish, Salmon, pink, canned, drained solids, without skin and bones","Горбуша (розовый лосось), консервированный, жидкость слита, без кожи и костей",1.029
"Fish, anchovy, european, canned in oil, drained solids","Анчоус европейский, консервированный в масле, жидкость слита",1.466
"Fish, anchovy, european, raw","Анчоус европейский, сырой",1.478
"Fish, bass, fresh water, mixed species, raw","Пресноводный окунь, разные виды, сырой",0.679
"Fish, bass, freshwater, mixed species, cooked, dry heat","Пресноводный окунь, разные виды, приготовленный, сухое тепло",0.871
"Fish, bass, striped, cooked, dry heat","Полосатый морской окунь, приготовленный, сухое тепло",0.967
"Fish, bass, striped, raw","Полосатый морской окунь, сырой",0.754
"Fish, bluefish, cooked, dry heat","Луфарь, приготовленный, сухое тепло",1.067
"Fish, bluefish, raw","Луфарь, сырой",0.833
"Fish, carp, raw","Карп, сырой",0.434
"Fish, catfish, channel, farmed, cooked, dry heat","Сом каналовый, аквакультура, приготовленный, сухое тепло",0.107
"Fish, catfish, channel, farmed, raw","Сом каналовый, аквакультура, сырой",0.089
"Fish, catfish, channel, cooked, breaded and fried","Сом каналовый, в панировке, жареный",0.398
"Fish, catfish, channel, wild, cooked, dry heat","Сом каналовый, приготовленный, сухое тепло",0.237
